;X;Y
RO1;-42,863814;-22,497336
RO2;-42,864719;-22,497477
RO3;-42,865407;-22,498353
RO4;-42,866288;-22,498786
CP1;-42,914525;-22,484693
CP2;-42,914992;-22,485638
CP3;-42,916437;-22,48457
CP4;-42,918275;-22,486358
CP5;-42,919463;-22,488587
CP6;-42,920515;-22,488521
RE1;-42,737074;-22,407143
RE2;-42,736155;-22,404133
RE3;-42,73635;-22,403008
RE4;-42,735883;-22,402191
RE5;-42,735537;-22,401476
RE6;-42,737554;-22,39709
RE7;-42,737781;-22,396241
RE8;-42,738688;-22,395592
RE9;-42,73929;-22,39413
RE10;-42,738838;-22,392511
RE11;-42,743014;-22,387369
RE12;-42,743829;-22,386351
RE13;-42,74385;-22,385393
RE14;-42,744247;-22,384748
RE15;-42,745879;-22,384309
RE16;-42,746447;-22,383263
RE17;-42,729024;-22,385105
RE18;-42,728465;-22,384468
RE19;-42,727912;-22,38371
RE20;-42,72744;-22,382893
CPp1;-42,996833;-22,455482
CPp2;-42,995981;-22,455878
PRI1;-42,988993;-22,449687
PRI2;-42,990117;-22,450734
PRI3;-42,990992;-22,451396
PRI4;-42,991347;-22,452088
PRI5;-42,9879;-22,449075
PRI6;-42,987428;-22,449028
CAMP1;-42,991956;-22,452592
MZ1;-42,996885;-22,455405
RF1;-42,998819;-22,455317
RF2;-43,000324;-22,45696
RF3;-43,000698;-22,457582
RF4;-43,001483;-22,457556
RF5;-43,001774;-22,457879
RF6;-43,004814;-22,458731
RF7;-43,006687;-22,4602
RF8;-43,006967;-22,459989
RF9;-43,008207;-22,460248
RF10;-43,009275;-22,460385
