;slop;asp;elev;sol
RO1;11,76;74,4;34;2342547,5
RO2;4,44;6,4;55;2287596,75
RO3;8,6;34;73;2443498,75
RO4;14,36;56,4;97;2291783,5
CP1;6,14;38,6;107;2441132,75
CP2;4,64;89;135;2455182,25
CP3;4,76;54;137;2436757,5
CP4;4,92;82;138;2118511,75
CP5;6,52;77,2;169;2358339,5
CP6;9,12;86,4;195;2276556,5
RE1;13,6;170;263;2122807
RE2;11,6;160;266;762110
RE3;25,9;140;289;1404948,25
RE4;15,2;200;306;1465238,5
RE5;18,4;200;334;865463,81
RE6;23,7;190;423;1799698,38
RE7;16;150;453;2447277,75
RE8;28,2;210;477;1899149,25
RE9;12,8;260;510;2076646,25
RE10;13,8;240;519;955664,69
RE11;23,8;270;685;1749430,25
RE12;18;250;685;1099255,75
RE13;12,4;140;711;911104,06
RE14;13,2;240;733;1261247,5
RE15;6,8;260;785;1235259,88
RE16;17,3;180;816;2006004,13
RE17;14;225;623;2088379,13
RE18;5,86;213;645;1710012
RE19;11,68;251,75;651;1267237
RE20;18;264,25;664;977772,13
CPp1;23,4;132;1090;1972416,13
CPp2;21,6;63;1042;2006515,63
PRI1;25,2;348;1040;2282064,13
PRI2;34;348;1065;2061628,88
PRI3;7,6;335;1058;2344938,5
PRI4;26,05;321,5;1065;2123085,5
PRI5;41;32;1011;2235660
PRI6;22,2;14;998;1942021,5
CAMP1;20,2;358;1075;2376373,5
MZ1;29,6;310;1007;1871468,13
RF1;8,2;20,8;1179;1968831,88
RF2;10;111,2;1223;2324253,75
RF3;11,62;132,4;1224;1964046,63
RF4;8,1;82,2;1230;2185411,75
RF5;11,12;196,2;1235;2015227,75
RF6;13,72;102,4;1303;1269369,75
RF7;14,8;145,6;1361;1138510,63
RF8;20,86;138,6;1385;1022859,75
RF9;18,48;132;1423;839543,31
RF10;25,28;132,4;1458;908711,88
